Team,Venue,Year,HR,State,County,Fahrenheit
D-backs,Chase Field,1999,94,Arizona,Phoenix,80.6
D-backs,Chase Field,2000,87,Arizona,Phoenix,84.3
D-backs,Chase Field,2001,127,Arizona,Phoenix,83.8
D-backs,Chase Field,2002,94,Arizona,Phoenix,83.7
D-backs,Chase Field,2003,114,Arizona,Phoenix,82.9
D-backs,Chase Field,2004,122,Arizona,Phoenix,82.5
D-backs,Chase Field,2005,104,Arizona,Phoenix,82.4
D-backs,Chase Field,2006,121,Arizona,Phoenix,83.5
D-backs,Chase Field,2007,106,Arizona,Phoenix,83.8
D-backs,Chase Field,2008,103,Arizona,Phoenix,82.7
D-backs,Chase Field,2009,102,Arizona,Phoenix,83.5
D-backs,Chase Field,2010,112,Arizona,Phoenix,82.1
D-backs,Chase Field,2011,113,Arizona,Phoenix,83.1
D-backs,Chase Field,2012,119,Arizona,Phoenix,83.7
D-backs,Chase Field,2013,97,Arizona,Phoenix,83.5
D-backs,Chase Field,2014,111,Arizona,Phoenix,82.8
D-backs,Chase Field,2015,86,Arizona,Phoenix,82.9
D-backs,Chase Field,2016,124,Arizona,Phoenix,83.1
D-backs,Chase Field,2017,123,Arizona,Phoenix,83.7
D-backs,Chase Field,2018,95,Arizona,Phoenix,84.6
D-backs,Chase Field,2019,94,Arizona,Phoenix,82.7
D-backs,Chase Field,2020,87,Arizona,Phoenix,85.4
D-backs,Chase Field,2021,85,Arizona,Phoenix,83.8
D-backs,Chase Field,2022,73,Arizona,Phoenix,83.9
Angels,Angel Stadium,1999,113,California,Anaheim,66.9
Angels,Angel Stadium,2000,109,California,Anaheim,70
Angels,Angel Stadium,2001,107,California,Anaheim,69.6
Angels,Angel Stadium,2002,81,California,Anaheim,69.1
Angels,Angel Stadium,2003,83,California,Anaheim,69.3
Angels,Angel Stadium,2004,103,California,Anaheim,69.8
Angels,Angel Stadium,2005,89,California,Anaheim,68.2
Angels,Angel Stadium,2006,81,California,Anaheim,70.2
Angels,Angel Stadium,2007,85,California,Anaheim,69.9
Angels,Angel Stadium,2008,98,California,Anaheim,70.4
Angels,Angel Stadium,2009,117,California,Anaheim,70.1
Angels,Angel Stadium,2010,79,California,Anaheim,67.4
Angels,Angel Stadium,2011,81,California,Anaheim,68.2
Angels,Angel Stadium,2012,80,California,Anaheim,70.8
Angels,Angel Stadium,2013,89,California,Anaheim,70.9
Angels,Angel Stadium,2014,80,California,Anaheim,71.3
Angels,Angel Stadium,2015,96,California,Anaheim,70.3
Angels,Angel Stadium,2016,98,California,Anaheim,70.7
