Team,Venue,State,County,Year,Week,Playoffs,HR,Fahrenheit,Feet
D-backs,Chase Field,Arizona,Phoenix,1999,27,1,94,80.6,1059
D-backs,Chase Field,Arizona,Phoenix,2000,26,0,87,84.3,1059
D-backs,Chase Field,Arizona,Phoenix,2001,27,1,127,83.8,1059
D-backs,Chase Field,Arizona,Phoenix,2002,26,1,94,83.7,1059
D-backs,Chase Field,Arizona,Phoenix,2003,26,0,114,82.9,1059
D-backs,Chase Field,Arizona,Phoenix,2004,27,0,122,82.5,1059
D-backs,Chase Field,Arizona,Phoenix,2005,27,0,104,82.4,1059
D-backs,Chase Field,Arizona,Phoenix,2006,26,0,121,83.5,1059
D-backs,Chase Field,Arizona,Phoenix,2007,26,1,106,83.8,1059
D-backs,Chase Field,Arizona,Phoenix,2008,27,0,103,82.7,1059
D-backs,Chase Field,Arizona,Phoenix,2009,27,0,102,83.5,1059
D-backs,Chase Field,Arizona,Phoenix,2010,27,0,112,82.1,1059
D-backs,Chase Field,Arizona,Phoenix,2011,26,1,113,83.1,1059
D-backs,Chase Field,Arizona,Phoenix,2012,27,0,119,83.7,1059
D-backs,Chase Field,Arizona,Phoenix,2013,26,0,97,83.5,1059
D-backs,Chase Field,Arizona,Phoenix,2014,27,0,111,82.8,1059
D-backs,Chase Field,Arizona,Phoenix,2015,27,0,86,82.9,1059
D-backs,Chase Field,Arizona,Phoenix,2016,27,0,124,83.1,1059
D-backs,Chase Field,Arizona,Phoenix,2017,26,1,123,83.7,1059
D-backs,Chase Field,Arizona,Phoenix,2018,26,0,95,84.6,1059
D-backs,Chase Field,Arizona,Phoenix,2019,27,0,94,82.7,1059
D-backs,Chase Field,Arizona,Phoenix,2020,10,0,87,85.4,1059
D-backs,Chase Field,Arizona,Phoenix,2021,27,0,85,83.8,1059
D-backs,Chase Field,Arizona,Phoenix,2022,27,0,73,83.9,1059
Angels,Angel Stadium,California,Anaheim,1999,27,0,113,66.9,160
Angels,Angel Stadium,California,Anaheim,2000,26,0,109,70,160
Angels,Angel Stadium,California,Anaheim,2001,27,0,107,69.6,160
Angels,Angel Stadium,California,Anaheim,2002,26,1,81,69.1,160
Angels,Angel Stadium,California,Anaheim,2003,26,0,83,69.3,160
Angels,Angel Stadium,California,Anaheim,2004,27,1,103,69.8,160
Angels,Angel Stadium,California,Anaheim,2005,27,1,89,68.2,160
Angels,Angel Stadium,California,Anaheim,2006,26,0,81,70.2,160
Angels,Angel Stadium,California,Anaheim,2007,26,1,85,69.9,160
Angels,Angel Stadium,California,Anaheim,2008,27,1,98,70.4,160
Angels,Angel Stadium,California,Anaheim,2009,27,1,117,70.1,160
Angels,Angel Stadium,California,Anaheim,2010,27,0,79,67.4,160
Angels,Angel Stadium,California,Anaheim,2011,26,0,81,68.2,160
Angels,Angel Stadium,California,Anaheim,2012,27,0,80,70.8,160
Angels,Angel Stadium,California,Anaheim,2013,26,0,89,70.9,160
Angels,Angel Stadium,California,Anaheim,2014,27,1,80,71.3,160
Angels,Angel Stadium,California,Anaheim,2015,27,0,96,70.3,160
Angels,Angel Stadium,California,Anaheim,2016,27,0,98,70.7,160
Angels,Angel Stadium,California,Anaheim,2017,26,0,96,71.2,160
Angels,Angel Stadium,California,Anaheim,2018,26,0,109,71.1,160
Angels,Angel Stadium,California,Anaheim,2019,27,0,101,68.9,160
Angels,Angel Stadium,California,Anaheim,2020,10,0,117,70.9,160
Angels,Angel Stadium,California,Anaheim,2021,27,0,117,71.7,160
Angels,Angel Stadium,California,Anaheim,2022,27,0,126,72.1,160
Dodgers,Dodger Stadium,California,Los Angeles,1999,27,0,108,66.9,330
Dodgers,Dodger Stadium,California,Los Angeles,2000,26,0,99,70,330
Dodgers,Dodger Stadium,California,Los Angeles,2001,27,0,95,69.6,330
Dodgers,Dodger Stadium,California,Los Angeles,2002,26,0,103,69.1,330
Dodgers,Dodger Stadium,California,Los Angeles,2003,26,0,132,69.3,330
Dodgers,Dodger Stadium,California,Los Angeles,2004,27,1,100,69.8,330
Dodgers,Dodger Stadium,California,Los Angeles,2005,27,0,107,68.2,330
Dodgers,Dodger Stadium,California,Los Angeles,2006,26,1,121,70.2,330
Dodgers,Dodger Stadium,California,Los Angeles,2007,26,0,102,69.9,330
Dodgers,Dodger Stadium,California,Los Angeles,2008,27,1,99,70.4,330
Dodgers,Dodger Stadium,California,Los Angeles,2009,27,1,88,70.1,330
Dodgers,Dodger Stadium,California,Los Angeles,2010,27,0,102,67.4,330
Dodgers,Dodger Stadium,California,Los Angeles,2011,26,0,90,68.2,330
Dodgers,Dodger Stadium,California,Los Angeles,2012,27,0,106,70.8,330
Dodgers,Dodger Stadium,California,Los Angeles,2013,26,1,106,70.9,330
Dodgers,Dodger Stadium,California,Los Angeles,2014,27,1,136,71.3,330
Dodgers,Dodger Stadium,California,Los Angeles,2015,27,1,102,70.3,330
Dodgers,Dodger Stadium,California,Los Angeles,2016,27,1,97,70.7,330
Dodgers,Dodger Stadium,California,Los Angeles,2017,26,1,104,71.2,330
Dodgers,Dodger Stadium,California,Los Angeles,2018,26,1,110,71.1,330
Dodgers,Dodger Stadium,California,Los Angeles,2019,27,1,115,68.9,330
Dodgers,Dodger Stadium,California,Los Angeles,2020,10,1,115,70.9,330
Dodgers,Dodger Stadium,California,Los Angeles,2021,27,1,139,71.7,330
Dodgers,Dodger Stadium,California,Los Angeles,2022,27,1,125,72.1,330
Athletics,Oakland Coliseum,California,Oakland,1999,27,0,88,63.8,19
Athletics,Oakland Coliseum,California,Oakland,2000,26,1,96,65.8,19
Athletics,Oakland Coliseum,California,Oakland,2001,27,1,94,66,19
Athletics,Oakland Coliseum,California,Oakland,2002,26,1,118,65.3,19
Athletics,Oakland Coliseum,California,Oakland,2003,26,1,101,65.7,19
Athletics,Oakland Coliseum,California,Oakland,2004,27,0,109,66.3,19
Athletics,Oakland Coliseum,California,Oakland,2005,27,0,91,65.1,19
Athletics,Oakland Coliseum,California,Oakland,2006,26,1,87,66.2,19
Athletics,Oakland Coliseum,California,Oakland,2007,26,0,78,65.4,19
Athletics,Oakland Coliseum,California,Oakland,2008,27,0,92,65.9,19
Athletics,Oakland Coliseum,California,Oakland,2009,27,0,86,66.1,19
Athletics,Oakland Coliseum,California,Oakland,2010,27,0,71,63.8,19
Athletics,Oakland Coliseum,California,Oakland,2011,26,0,78,64.1,19
Athletics,Oakland Coliseum,California,Oakland,2012,27,1,83,65.5,19
Athletics,Oakland Coliseum,California,Oakland,2013,26,1,82,66.7,19
Athletics,Oakland Coliseum,California,Oakland,2014,27,1,97,67.5,19
Athletics,Oakland Coliseum,California,Oakland,2015,27,0,80,66.9,19
Athletics,Oakland Coliseum,California,Oakland,2016,27,0,72,66.6,19
Athletics,Oakland Coliseum,California,Oakland,2017,26,0,106,67.4,19
Athletics,Oakland Coliseum,California,Oakland,2018,26,1,79,65.7,19
Athletics,Oakland Coliseum,California,Oakland,2019,27,1,88,66.5,19
Athletics,Oakland Coliseum,California,Oakland,2020,10,1,70,68.5,19
Athletics,Oakland Coliseum,California,Oakland,2021,27,0,84,67.6,19
Athletics,Oakland Coliseum,California,Oakland,2022,27,0,71,67.5,19
Padres,Qualcomm Stadium,California,San Diego,1999,27,0,87,67.6,17
Padres,Qualcomm Stadium,California,San Diego,2000,26,0,95,70.9,17
Padres,Qualcomm Stadium,California,San Diego,2001,27,0,86,70.3,17
Padres,Qualcomm Stadium,California,San Diego,2002,26,0,77,69.7,17
Padres,Qualcomm Stadium,California,San Diego,2003,26,0,84,69.8,17
Padres,Petco Park,California,San Diego,2005,27,1,74,69.4,17
Padres,Petco Park,California,San Diego,2006,26,1,96,71.3,17
Padres,Petco Park,California,San Diego,2007,26,0,77,70.5,17
Padres,Petco Park,California,San Diego,2008,27,0,71,70.8,17
Padres,Petco Park,California,San Diego,2009,27,0,73,71,17
Padres,Petco Park,California,San Diego,2010,27,0,88,68.1,17
Padres,Petco Park,California,San Diego,2011,26,0,84,69,17
Padres,Petco Park,California,San Diego,2012,27,0,62,71.2,17
Padres,Petco Park,California,San Diego,2013,26,0,91,71.3,17
Padres,Petco Park,California,San Diego,2014,27,0,81,72,17
Padres,Petco Park,California,San Diego,2015,27,0,108,70.9,17
Padres,Petco Park,California,San Diego,2016,27,0,91,71,17
Padres,Petco Park,California,San Diego,2017,26,0,83,71.5,17
Padres,Petco Park,California,San Diego,2018,26,0,92,72,17
Padres,Petco Park,California,San Diego,2019,27,0,89,69.7,17
Padres,Petco Park,California,San Diego,2020,10,1,101,72,17
Padres,Petco Park,California,San Diego,2021,27,0,88,72,17
Padres,Petco Park,California,San Diego,2022,27,1,95,72.2,17
Giants,3Com Park at Candlestick Point,California,San Francisco,1999,27,0,96,58.5,3
Giants,Oracle Park,California,San Francisco,2001,27,0,69,60.1,3
Giants,Oracle Park,California,San Francisco,2002,26,1,59,59.6,3
Giants,Oracle Park,California,San Francisco,2003,26,1,80,60.7,3
Giants,Oracle Park,California,San Francisco,2004,27,0,85,61.4,3
Giants,Oracle Park,California,San Francisco,2005,27,0,95,59.8,3
Giants,Oracle Park,California,San Francisco,2006,26,0,70,60.3,3
Giants,Oracle Park,California,San Francisco,2007,26,0,81,60.1,3
Giants,Oracle Park,California,San Francisco,2008,27,0,94,60,3
Giants,Oracle Park,California,San Francisco,2009,27,0,98,60.3,3
Giants,Oracle Park,California,San Francisco,2010,27,1,87,58.8,3
Giants,Oracle Park,California,San Francisco,2011,26,0,62,59,3
Giants,Oracle Park,California,San Francisco,2012,27,1,56,59.1,3
Giants,Oracle Park,California,San Francisco,2013,26,0,74,61.2,3
Giants,Oracle Park,California,San Francisco,2014,27,1,69,62.5,3
Giants,Oracle Park,California,San Francisco,2015,27,0,62,62.2,3
Giants,Oracle Park,California,San Francisco,2016,27,1,67,61,3
Giants,Oracle Park,California,San Francisco,2017,26,0,62,61.9,3
Giants,Oracle Park,California,San Francisco,2018,26,0,76,60,3
Giants,Oracle Park,California,San Francisco,2019,27,0,66,61.9,3
Giants,Oracle Park,California,San Francisco,2020,10,0,99,62.9,3
Giants,Oracle Park,California,San Francisco,2021,27,1,78,60.4,3
Giants,Oracle Park,California,San Francisco,2022,27,0,76,61.3,3
Rockies,Coors Field,Colorado,Denver,1999,27,0,174,61.5,5200
Rockies,Coors Field,Colorado,Denver,2000,26,0,163,65.4,5200
Rockies,Coors Field,Colorado,Denver,2001,27,0,140,65.1,5200
Rockies,Coors Field,Colorado,Denver,2002,26,0,153,65.2,5200
Rockies,Coors Field,Colorado,Denver,2003,26,0,129,64,5200
Rockies,Coors Field,Colorado,Denver,2004,27,0,115,62.3,5200
Rockies,Coors Field,Colorado,Denver,2005,27,0,96,63.7,5200
Rockies,Coors Field,Colorado,Denver,2006,26,0,114,64.8,5200
Rockies,Coors Field,Colorado,Denver,2007,26,1,124,64.5,5200
Rockies,Coors Field,Colorado,Denver,2008,27,0,122,62.8,5200
Rockies,Coors Field,Colorado,Denver,2009,27,1,104,61.9,5200
Rockies,Coors Field,Colorado,Denver,2010,27,0,144,64,5200
Rockies,Coors Field,Colorado,Denver,2011,26,0,133,63.7,5200
Rockies,Coors Field,Colorado,Denver,2012,27,0,135,67.1,5200
Rockies,Coors Field,Colorado,Denver,2013,26,0,114,63.8,5200
Rockies,Coors Field,Colorado,Denver,2014,27,0,128,63.3,5200
Rockies,Coors Field,Colorado,Denver,2015,27,0,119,63.9,5200
Rockies,Coors Field,Colorado,Denver,2016,27,0,122,64,5200
Rockies,Coors Field,Colorado,Denver,2017,26,1,117,64.1,5200
Rockies,Coors Field,Colorado,Denver,2018,26,1,127,65.7,5200
Rockies,Coors Field,Colorado,Denver,2019,27,0,118,64.1,5200
Rockies,Coors Field,Colorado,Denver,2020,10,0,103,65.3,5200
Rockies,Coors Field,Colorado,Denver,2021,27,0,111,64.9,5200
Rockies,Coors Field,Colorado,Denver,2022,27,0,143,65.5,5200
